Epoch,step,lr,loss,acc
1,0,0.00032,87.88544,0.028735632149652503
1,102400,0.00032,2.7215006,0.37902298795765843
2,0,0.00032,2.015985,0.5494252887265435
2,102400,0.00032,1.0538253,0.7885057479485699
3,0,0.00032,0.8540757,0.8537356335541297
3,102400,0.00032,0.726668,0.8905172383648225
4,0,0.00032,0.5803243,0.9109195432443729
4,102400,0.00032,0.7185322,0.9218390801857258
5,0,0.00032,0.4513397,0.9367816078251806
5,102400,0.00032,0.3914794,0.9479885032807274
6,0,0.00025600000000000004,0.340118,0.9563218385323711
6,102400,0.00025600000000000004,0.35346138,0.9617816086473137
7,0,0.00025600000000000004,0.30915523,0.9640804607292701
7,102400,0.00025600000000000004,0.3025571,0.9655172423384656
8,0,0.00025600000000000004,0.26034328,0.9669540213442397
8,102400,0.00025600000000000004,0.26842013,0.9686781596863406
9,0,0.00025600000000000004,0.2397007,0.9715517266043301
9,102400,0.00025600000000000004,0.25654078,0.97471264614456
10,0,0.00025600000000000004,0.2954397,0.9747126409377175
10,102400,0.00025600000000000004,0.1982999,0.9735632197610263
11,0,0.00020480000000000004,0.27545017,0.9775862056633522
11,102400,0.00020480000000000004,0.25809386,0.9761494240541567
12,0,0.00020480000000000004,0.27821353,0.9761494277537555
12,102400,0.00020480000000000004,0.2695148,0.9772988519449344
13,0,0.00020480000000000004,0.18310346,0.9744252861231223
13,102400,0.00020480000000000004,0.24887806,0.9744252857120558
14,0,0.00020480000000000004,0.23793793,0.9778735634924351
14,102400,0.00020480000000000004,0.12743108,0.9772988504376905
15,0,0.00020480000000000004,0.12024198,0.9790229898759688
15,102400,0.00020480000000000004,0.12748976,0.9772988519449344
